Year,Round,Driver,Expected_Pace_Delta
2022,21,STR,-48.26233143889385
2022,21,TSU,-115.48510148821515
2022,21,VER,-116.14407903980009
2022,21,VET,-79.19284532504025
2022,21,ZHO,-62.54304142818455
2022,22,ALB,60.747590051872976
2022,22,ALO,149.20909489470796
2022,22,BOT,119.491300530839
2022,22,GAS,141.18838901607523
2022,22,HAM,156.89667689150883
2022,22,LAT,53.81417510614483
2022,22,LEC,135.02822950113205
2022,22,MAG,113.64964817436157
2022,22,MSC,58.48785730430609
2022,22,NOR,54.209324199670846
2022,22,OCO,47.22653272694333
2022,22,PER,43.52214698061107
2022,22,RIC,149.481855913461
2022,22,RUS,53.73375004393074
2022,22,SAI,38.458224703114865
2022,22,STR,57.93628165089103
2022,22,TSU,89.41599900421988
2022,22,VER,142.02960774787607
2022,22,VET,108.1078617579833
2022,22,ZHO,75.6313666581409
2023,1,ALB,524.3204095990932
2023,1,ALO,218.65904163006235
2023,1,BOT,202.4281569502191
2023,1,DEV,199.937055645496
2023,1,GAS,396.0411213122934
2023,1,HAM,209.75961628594087
2023,1,HUL,412.1293070383381
2023,1,LEC,215.51334772563678
2023,1,MAG,366.168659644105
2023,1,NOR,394.94075524779055
2023,1,OCO,79.90233510430699
2023,1,PER,357.890232767837
2023,1,PIA,239.1692298464368
2023,1,RUS,215.9428931082457
2023,1,SAI,215.89811890727287
2023,1,SAR,547.5972070169973
2023,1,STR,223.3114912162473
2023,1,TSU,405.5893337860998
2023,1,VER,360.2217863505384
2023,1,ZHO,480.34368147758505
2023,2,ALB,-0.1194546684200759
2023,2,ALO,-4.53775502118242
2023,2,BOT,112.93177797334283
2023,2,DEV,-0.1781808359110073
2023,2,GAS,12.18375166226906
2023,2,HAM,-2.721499446368398
2023,2,HUL,22.71183211628704
2023,2,LEC,138.78561142068793
2023,2,MAG,31.125369717889043
2023,2,NOR,48.27236442697631
2023,2,OCO,3.8142904358974192
2023,2,PER,-4.634535318939015
2023,2,PIA,24.88919518093644
2023,2,RUS,-4.443634025528809
2023,2,SAI,8.029602660097225
2023,2,SAR,-2.5029465115321727
2023,2,STR,15.525833771174803
2023,2,TSU,-0.18052275573063525
2023,2,VER,-4.368846307818785
2023,2,ZHO,35.28601509836426
2023,3,ALB,-124.42513117028466
2023,3,ALO,89.45253963959112
2023,3,BOT,62.05262448598842
2023,3,DEV,114.9130578296199
2023,3,GAS,141.69670622392186
2023,3,HAM,89.48693101592289
2023,3,HUL,89.44281781817153
2023,3,LEC,-124.41758572401613
2023,3,MAG,-3.9694060209749296
2023,3,NOR,89.48419423713494
2023,3,OCO,10.744264834056594
2023,3,PER,-314.5073528701232
2023,3,PIA,97.31835503300863
2023,3,RUS,-4.087864158380398
2023,3,SAI,23.894549677118448
2023,3,SAR,-282.11584556595517
2023,3,STR,89.34688896476928
2023,3,TSU,97.19593032676767
2023,3,VER,89.43071101841451
2023,3,ZHO,45.7262131302341
2023,4,ALB,99.55928921701252
2023,4,ALO,86.02248272703764
2023,4,BOT,-106.00204759243297
2023,4,DEV,-193.86392044779495
2023,4,GAS,109.80544589128294
2023,4,HAM,96.20206724663058
2023,4,HUL,-181.25359837579072
2023,4,LEC,86.2457264692548
2023,4,MAG,92.04709495265797
2023,4,NOR,96.11632760291832
2023,4,OCO,-176.95112601428082
2023,4,PER,86.20514696873033
2023,4,PIA,99.18462892269963
2023,4,RUS,84.55889616517197
2023,4,SAI,86.11427351568818
2023,4,SAR,99.08950325935803
2023,4,STR,86.18071813230381
2023,4,TSU,99.2114661880205
