Year,Round,Driver,Constructor,GridPosition,Position,Is_DNF,Points
2022,17,PER,red_bull,2,1,0,25.0
2022,17,LEC,ferrari,1,2,0,18.0
2022,17,SAI,ferrari,4,3,0,15.0
2022,17,NOR,mclaren,6,4,0,12.0
2022,17,RIC,mclaren,16,5,0,10.0
2022,17,STR,aston_martin,11,6,0,8.0
2022,17,VER,red_bull,8,7,0,6.0
2022,17,VET,aston_martin,13,8,0,4.0
2022,17,HAM,mercedes,3,9,0,2.0
2022,17,GAS,alphatauri,7,10,0,1.0
2022,17,BOT,alfa,15,11,0,0.0
2022,17,MAG,haas,9,12,0,0.0
2022,17,MSC,haas,12,13,0,0.0
2022,17,RUS,mercedes,0,14,0,0.0
2022,17,TSU,alphatauri,10,15,1,0.0
2022,17,OCO,alpine,17,16,1,0.0
2022,17,ALB,williams,18,17,1,0.0
2022,17,ALO,alpine,5,18,1,0.0
2022,17,LAT,williams,19,19,1,0.0
2022,17,ZHO,alfa,14,20,1,0.0
2022,18,VER,red_bull,1,1,0,25.0
2022,18,PER,red_bull,4,2,0,18.0
2022,18,LEC,ferrari,2,3,0,15.0
2022,18,OCO,alpine,5,4,0,12.0
2022,18,HAM,mercedes,6,5,0,10.0
2022,18,VET,aston_martin,9,6,0,8.0
2022,18,ALO,alpine,7,7,0,6.0
2022,18,RUS,mercedes,8,8,0,4.0
2022,18,LAT,williams,20,9,0,2.0
2022,18,NOR,mclaren,10,10,0,1.0
2022,18,RIC,mclaren,11,11,0,0.0
2022,18,STR,aston_martin,19,12,0,0.0
2022,18,TSU,alphatauri,13,13,0,0.0
2022,18,MAG,haas,18,14,0,0.0
2022,18,BOT,alfa,12,15,0,0.0
2022,18,ZHO,alfa,14,16,0,0.0
2022,18,MSC,haas,15,17,0,0.0
2022,18,GAS,alphatauri,17,18,0,0.0
2022,18,SAI,ferrari,3,19,1,0.0
2022,18,ALB,williams,16,20,1,0.0
2022,19,VER,red_bull,2,1,0,25.0
